Tm,ATL19,MIA19,NYM19,PHI19,WSN19,CHC19,CIN19,MIL19,PIT19,STL19,ARI19,COL19,LAD19,SDP19,SFG19
ATL19,--,15,11,9,11,5,3,3,5,4,3,3,2,5,5
MIA19,4,--,6,10,4,1,1,2,3,3,4,2,1,4,3
NYM19,8,13,--,7,12,2,4,1,5,2,5,4,2,3,3
PHI19,10,9,12,--,5,5,4,3,4,4,2,4,2,3,3
WSN19,8,15,7,14,--,4,5,2,4,2,3,4,3,3,5
CHC19,2,6,5,2,2,--,8,9,11,9,4,3,3,4,4
CIN19,4,6,3,3,1,11,--,8,7,7,3,3,1,5,4
MIL19,3,5,5,4,4,10,11,--,15,9,5,2,3,3,2
PIT19,2,3,1,2,3,8,12,4,--,5,1,5,0,6,5
STL19,2,4,5,2,5,10,12,10,14,--,3,5,4,2,4
ARI19,4,3,2,4,4,2,3,2,6,3,--,9,8,11,10
COL19,3,5,2,3,3,3,3,5,2,2,10,--,4,11,7
LAD19,4,5,5,5,4,4,5,4,6,3,11,15,--,13,12
SDP19,2,2,3,3,4,3,2,4,1,4,8,8,6,--,9
SFG19,2,3,4,4,1,2,3,4,2,3,9,12,7,10,--
